timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666687959627,158,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,342172,284,10,10,null,0,1,0
1666687959627,158,HTTP Request,200,OK,Thread Group 1-10,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,49,0,0
1666687959627,49,HTTP Request-0,301,TLS Redirect,Thread Group 1-10,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,49,0,0
1666687959677,108,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,51,0,0
1666687959317,548,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,17464,119,10,10,null,0,1,0
1666687959317,548,HTTP Request,200,OK,Thread Group 1-8,text,true,,17464,119,10,10,https://www.google.com/,532,0,0
1666687959406,546,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,17475,119,10,10,null,0,1,0
1666687959407,546,HTTP Request,200,OK,Thread Group 1-5,text,true,,17475,119,10,10,https://www.google.com/,530,0,0
1666687959479,482,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,17425,119,10,10,null,0,0,0
1666687959479,482,HTTP Request,200,OK,Thread Group 1-7,text,true,,17425,119,10,10,https://www.google.com/,467,0,0
1666687959866,174,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,342172,284,10,10,null,0,1,0
1666687959867,174,HTTP Request,200,OK,Thread Group 1-8,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,49,0,0
1666687959867,49,HTTP Request-0,301,TLS Redirect,Thread Group 1-8,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,49,0,0
1666687959916,125,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,56,0,0
1666687959211,881,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,17467,119,10,10,null,0,0,0
1666687959211,881,HTTP Request,200,OK,Thread Group 1-3,text,true,,17467,119,10,10,https://www.google.com/,864,0,0
1666687959953,162,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,342172,284,10,10,null,0,0,0
1666687959953,162,HTTP Request,200,OK,Thread Group 1-5,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,53,0,0
1666687959953,53,HTTP Request-0,301,TLS Redirect,Thread Group 1-5,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,53,0,0
